,Region,Area,Population,Density per square kilometer,Senior citizen %,No of cases,Educational institutes,Hospitals,Supermarts/malls,Number of Households,Number of Notified Households,No. of household with water connection inside the house,Total number of water connections,No of households having private washroom,Density of retail store,Per capita income,Gender Ratio,Domestic Violence %,Internet Penetration %,Police to Population Ratio per 1000,Number of Kirana Shops,Number of Pharmacies,Number of Liquor Stores,Estimates of Alcoholism % in Population,% Unemployed(55%),Age Group Children %,Literacy Rate,Slum percentage,Agriculture and Food,Manufacturing,Mining,Electricity Gas Water,Construction,Trade Hotels Restaurants,Transport Storage Communication,Financing Real Estate Business Services,Community Social Public Admin,Rural,Semi Urban,Urban
39,Daman Diu DNH,31.4197,17418.0,554.3655732000001,0.0776,1.0,0.0,0.0,0.0,3871.0,3798.672,1007.1469999999999,,2118.803,64.87541624,150076,806.0,0.009554,0.3381490421,0.762528,113.0,12.0,4.0,62.3,3.0999999999999903,11.975,0.07156,0.0,2.0,195.0,2.0,4.0,2.0,41.0,8.0,7.0,2.0,1,0,0
40,Daman Diu DNH,39.5506,16517.0,417.6169262,0.0776,1.0,21.0,0.0,0.0,3670.0,3602.1740000000004,955.0496,,2009.201,64.78174003,150076,822.0,0.009554,0.3381490421,0.762528,107.0,11.0,4.0,62.3,3.0999999999999903,14.887,0.05437,0.0,4.0,26.0,0.25,0.5,0.25,9.0,2.0,2.0,7.0,1,0,0
41,Daman Diu DNH,43.6157,24781.0,568.1669674,0.0776,1.0,0.0,0.0,0.0,5507.0,5404.460999999999,1432.892,,3014.4709999999995,64.96912958,150076,941.0,0.009554,0.3381490421,0.762528,161.0,17.0,6.0,62.3,3.0999999999999903,14.847000000000001,0.0658,0.0,4.0,64.0,1.0,1.0,1.0,10.0,2.0,2.0,4.0,1,0,0
42,Daman Diu DNH,14.4998,23475.0,1618.987848,0.0776,0.0,0.0,0.0,0.0,5217.0,5119.637,1357.3770000000002,,2855.603,65.17571885,150076,450.0,0.009554,0.3381490421,0.762528,153.0,16.0,5.0,62.3,3.0999999999999903,10.827,0.07941000000000001,0.0,1.0,110.0,1.0,2.0,1.0,5.0,1.0,5.0,2.0,1,0,0
43,Daman Diu DNH,23.5127,15086.0,641.610704,0.0776,0.0,0.0,0.0,0.0,3352.0,3290.0890000000004,872.306,,1835.128,64.96089089,150076,815.0,0.009554,0.3381490421,0.762528,98.0,10.0,4.0,62.3,3.0999999999999903,16.886,0.06364,0.0,2.0,203.0,2.0,4.0,2.0,5.0,1.0,1.0,2.0,1,0,0
44,Daman Diu DNH,25.6483,15757.0,614.3487093,0.0776,1.0,0.0,0.0,0.0,3502.0,3436.427,911.1048,,1916.7520000000002,64.73313448,150076,929.0,0.009554,0.3381490421,0.762528,102.0,11.0,4.0,62.3,3.0999999999999903,13.995,0.06129,0.0,1.0,317.0,3.0,6.0,3.0,10.0,2.0,3.0,2.0,1,0,0
45,Daman Diu DNH,34.1804,11020.0,322.4069935,0.0776,0.0,0.0,0.0,0.0,2449.0,2403.34,637.2009,,1340.5220000000002,65.33575318,150076,985.0,0.009554,0.3381490421,0.762528,72.0,7.0,3.0,62.3,3.0999999999999903,15.515,0.05747000000000001,0.0,4.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,1.0,1,0,0
46,Daman Diu DNH,27.4781,13382.0,487.0060157,0.0776,1.0,0.0,0.0,0.0,2974.0,2918.466,773.7769999999999,,1627.846,65.01270363,150076,977.0,0.009554,0.3381490421,0.762528,87.0,9.0,3.0,62.3,3.0999999999999903,18.052,0.05425,0.0,3.0,27.0,0.0,1.0,0.0,3.0,1.0,3.0,2.0,1,0,0
47,Daman Diu DNH,36.1733,14908.0,412.1271767,0.0776,0.0,0.0,0.0,0.0,3313.0,3251.2690000000002,862.0137,,1813.475,65.06573652,150076,931.0,0.009554,0.3381490421,0.762528,97.0,10.0,3.0,62.3,3.0999999999999903,18.579,0.051089999999999997,0.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,3.0,1,0,0
48,Maharashtra,17413.0,5269610.0,302.6250502,0.093,53.0,1089.0,231.0,1320.0,1171024.0,724864.0,545697.0,545697.0,1121138.0,33.62298159,154564.0,0.9390000000000001,0.0862,0.55,1.6902954219458024,17718.0,2757.0,394.0,0.15710000000000002,0.209,0.1224,0.7905,0.00820068,0.3159359228,0.5353325461999999,0.004785095385,0.0474920717,0.1909253059,0.4346062883,0.2213106616,0.8751939459,0.136853728,1,0,0
49,Maharashtra,5417.0,2103950.0,388.39763710000005,0.093,83.0,771.0,49.0,495.0,467544.0,289410.0,217876.0,217876.0,448001.0,33.62247202,135757.0,0.946,0.0905,0.55,1.6902954219458024,7074.0,1101.0,157.0,0.1566,0.209,0.1164,0.8805,0.09031339,0.1638895169,0.1638895169,0.0007177643077000001,0.02332734,0.09462526124,0.2204732699,0.1157993083,0.35026898219999997,0.045338778770000004,1,0,0
50,Maharashtra,12626.0,3350307.0,265.3498337,0.093,73.0,1232.0,105.0,850.0,744513.0,460853.0,346943.0,346943.0,731856.0,33.62378433,127865.0,0.951,0.0779,0.55,1.6902954219458024,11265.0,1753.0,250.0,0.1563,0.209,0.1078,0.8737999999999999,0.08270298000000001,0.2568399948,0.08218401324,0.00047850953849999997,0.03768262616,0.1445098806,0.2979918151,0.1385285114,0.632948492,0.0777578,1,0,0
51,Maharashtra,10100.0,4293117.0,425.0610891,0.093,373.0,2057.0,111.0,2090.0,954026.0,590542.0,444576.0,444576.0,940097.0,33.62358864,155349.0,0.9229999999999999,0.0986,0.55,1.6902954219458024,14435.0,2246.0,321.0,0.1582,0.209,0.1439,0.7902,0.05970931,0.1923608345,0.8608386597,0.002033665539,0.032419021230000004,0.2518156446,0.3625906028,0.17932144949999998,0.6528066379,0.09881221970000001,1,0,0
52,Maharashtra,3717.0,1392267.0,374.56739310000006,0.093,1.0,398.0,59.0,195.0,309393.0,191514.0,144177.0,144177.0,304350.0,33.62142463,99215.0,0.9420000000000001,0.07400000000000001,0.55,1.6902954219458024,4681.0,728.0,104.0,0.15689999999999998,0.209,0.105,0.8376,0.02512467,0.09689818153999999,0.09988886616,0.014235658769999998,0.009929072924,0.06890537354,0.1069468819,0.04019480123,0.2089890409,0.033734922460000004,1,0,0
53,Maharashtra,10439.0,2998398.0,287.2303861,0.093,1.0,844.0,79.0,75.0,666311.0,412446.0,310501.0,310501.0,648454.0,33.62462221,123667.0,0.9159999999999999,0.1335,0.55,1.6902954219458024,10082.0,1569.0,224.0,0.15869999999999998,0.209,0.1365,0.7698999999999999,0.03740006,0.2142526459,0.07428860585,0.001196273846,0.03253864862,0.08816538247000001,0.1797999591,0.06974276522999999,0.33615295079999996,0.045458406160000006,1,0,0
54,Maharashtra,9680.0,2999801.0,309.8967975,0.093,24.0,676.0,87.0,415.0,666622.0,412639.0,310646.0,310646.0,651156.0,33.62223027,89755.0,0.934,0.1021,0.55,1.6902954219458024,10086.0,1569.0,224.0,0.1575,0.209,0.1284,0.8340000000000001,0.01013472,0.1759718828,0.1380500019,0.00047850953849999997,0.017944107690000002,0.07632227139,0.2025291622,0.08290177754,0.3806543379,0.05000424677,1,0,0
55,Maharashtra,10695.0,2556776.0,239.06273959999996,0.093,4.0,790.0,99.0,1010.0,568172.0,351699.0,264768.0,264768.0,445674.0,33.62437695,145041.0,0.961,0.1095,0.55,1.6902954219458024,8597.0,1338.0,191.0,0.15560000000000002,0.209,0.1049,0.8001,0.03668273,0.1759718828,0.1380500019,0.00047850953849999997,0.017944107690000002,0.07632227139,0.2025291622,0.08290177754,0.3806543379,0.05000424677,1,0,0
56,Maharashtra,8063.0,2378795.0,295.02604489999993,0.093,32.0,635.0,51.0,350.0,528621.0,327216.0,246337.0,246337.0,522489.0,33.62206495,129042.0,0.946,0.096,0.55,1.6902954219458024,7998.0,1244.0,178.0,0.1566,0.209,0.1334,0.728,0.04382694,0.1954711465,0.1381696292,0.002392547692,0.06447916031,0.08433730616,0.1977440668,0.09952998401,0.36653830649999997,0.04569766093,1,0,0
57,Maharashtra,14412.0,1244505.0,86.35199833,0.093,0.0,225.0,45.0,65.0,276557.0,171189.0,128876.0,128876.0,273681.0,33.61979261,89954.0,0.982,0.0707,0.55,1.6902954219458024,4184.0,651.0,93.0,0.1542,0.209,0.0572,0.7436,0.0,0.09151494924,0.02942833662,0.0009570190769999999,0.008613171692999999,0.032419021230000004,0.053593068310000005,0.02332734,0.1410406865,0.030504983080000003,1,0,0
58,Maharashtra,4843.0,1533976.0,316.7408631,0.093,1.0,385.0,57.0,385.0,340884.0,211007.0,158852.0,158852.0,336862.0,33.62503716,118603.0,0.9990000000000001,0.0848,0.55,1.6902954219458024,5158.0,803.0,115.0,0.1531,0.209,0.1061,0.8495,0.03159908,0.08972053847000001,0.11532079880000001,0.0007177643077000001,0.005981369231,0.07991109293,0.1238143431,0.05670338031,0.1790821948,0.02715541631,1,0,0
59,Maharashtra,4526.0,1365602.0,301.7238179,0.093,58.0,224.0,26.0,50.0,303467.0,187846.0,141416.0,141416.0,249996.0,33.62619563,89714.0,0.9420000000000001,0.105,0.55,1.6902954219458024,4592.0,714.0,102.0,0.15689999999999998,0.209,0.1408,0.7817000000000001,0.03209,0.1180722286,0.02536100554,0.0008373916924,0.004785095385,0.02607876985,0.07428860585,0.02428435908,0.1332649065,0.01698708862,1,0,0
60,Maharashtra,11765.0,4906281.0,417.0234594,0.093,65.0,1302.0,111.0,840.0,1090285.0,674886.0,508073.0,508073.0,1071314.0,33.62424614,123394.0,0.925,0.1274,0.55,1.6902954219458024,16497.0,2567.0,367.0,0.15810000000000002,0.209,0.1258,0.782,0.006672470000000001,0.29607777690000003,0.3507474917,0.003110312,0.056583752929999995,0.1814747425,0.40721161729999994,0.2635391283,0.7768602357,0.09079718492999998,1,0,0
61,Maharashtra,7612.0,2272297.0,298.5151077,0.093,8.0,367.0,48.0,770.0,504955.0,312567.0,235309.0,235309.0,412700.0,33.62236539,105640.0,0.937,0.1699,0.55,1.6902954219458024,7640.0,1189.0,170.0,0.1573,0.209,0.1467,0.7152,0.05367051,0.13709298279999999,0.12453210740000001,0.0009570190769999999,0.01064683723,0.06340251385,0.1421173329,0.05143977539,0.23363228219999999,0.03935740954,1,0,0
62,Maharashtra,7685.0,4495774.0,585.0063761,0.093,16.0,1209.0,98.0,790.0,999061.0,618419.0,465562.0,465562.0,988371.0,33.62268655,193073.0,0.9570000000000001,0.0775,0.55,1.6902954219458024,15116.0,2352.0,336.0,0.34729999999999994,0.209,0.1055,0.8151,0.01745252,0.4580532557,0.9921895281,0.003469194154,0.04414250493,0.2142526459,0.46080468560000004,0.2540885649,1.245919211,0.09330936001,1,0,0
63,Maharashtra,7372.0,2846622.0,386.13971789999994,0.093,19.0,1065.0,54.0,1965.0,632583.0,391569.0,294784.0,294784.0,433003.0,33.62230742,123269.0,0.9279999999999999,0.122,0.55,1.6902954219458024,9571.0,1489.0,213.0,0.15789999999999998,0.209,0.1295,0.7726000000000001,0.035098660000000004,0.2648550296,0.09283085047,0.002392547692,0.017226343390000003,0.1037169425,0.2173629579,0.08038960247,0.3703663828,0.04689393477,1,0,0
64,Maharashtra,157.0,3578768.0,22794.70064,0.14,3683.0,1790.0,309.0,14910.0,795282.0,492279.0,370601.0,370601.0,453947.0,33.62330277,325954.0,0.8320000000000001,0.0405,0.55,1.6902954219458024,12033.0,1872.0,267.0,0.3546,0.209,0.0884,0.8920999999999999,0.41846540000000004,0.03233455682,0.8391855761,0.0013349128959999998,0.1388606059,0.2913076587,0.9959933443000001,0.8329559826,2.366889559,0.178996987,0,0,1
65,Maharashtra,446.0,10853140.0,24334.39462,0.14,10714.0,4983.0,465.0,5500.0,2411809.0,1492910.0,1123903.0,1123903.0,2355131.0,33.62344907,325954.0,0.86,0.0405,0.55,1.6902954219458024,36492.0,5678.0,811.0,0.3529,0.209,0.0995,0.8991,0.41846540000000004,0.06864150469,1.781467455,0.002833823588,0.294780627,0.6184032808,2.114347266,1.768242945,5.024558143,0.3799842562,0,0,1
66,Maharashtra,9897.0,5397676.0,545.3850662000001,0.093,182.0,3346.0,185.0,2820.0,1199484.0,742480.0,558960.0,558960.0,1183891.0,33.62372992,225390.0,0.951,0.0417,0.55,1.6902954219458024,18149.0,2824.0,403.0,0.3476,0.209,0.1068,0.8839,0.1846941,0.1945141274,0.9346487561,0.07381009631,0.1006066305,0.5065023465,0.7774583727,0.4943003533,1.555395255,0.2335126548,1,0,0
67,Maharashtra,10422.0,3898763.0,374.08971410000004,0.093,31.0,1306.0,98.0,692.0,866392.0,536297.0,403739.0,403739.0,814928.0,33.62348519,116180.0,0.943,0.1012,0.55,1.6902954219458024,13109.0,2040.0,291.0,0.1568,0.209,0.1367,0.7545000000000001,0.03758257,0.2481071957,0.11962738460000001,0.00490472277,0.022729203080000003,0.12237881449999999,0.2666494403,0.1112534677,0.516909929,0.06723059015999999,1,0,0
